# time,theta_1,theta_2,omega_1,omega_2
1.537537537537537524e+01,-9.360901516183146498e+01,-4.378210758717409590e+01,1.952269091245049992e+01,2.936543444610160591e+01
1.541541541541541527e+01,-9.259106752992177292e+01,-4.260881374552459988e+01,3.126029784018071211e+01,2.929306087071350717e+01
1.545545545545545529e+01,-9.110068253815042283e+01,-4.144209018415825341e+01,4.315127633736187818e+01,2.898886355671023196e+01
1.549549549549549532e+01,-8.913144483866150836e+01,-4.029236171915596998e+01,5.523826851553998551e+01,2.837343344735168671e+01
1.553553553553553535e+01,-8.667507409959729614e+01,-3.917344340885723852e+01,6.755816916877859057e+01,2.737150861391493351e+01
1.557557557557557537e+01,-8.372142500509825425e+01,-3.810254055386018024e+01,8.014212577365897516e+01,2.591197425569415813e+01
1.561561561561561540e+01,-8.025848725530305217e+01,-3.710024869702149175e+01,9.301553848928000434e+01,2.392786270000069138e+01
1.565565565565565542e+01,-7.627255643660552664e+01,-3.619041806576826303e+01,1.061967814671968426e+02,2.135744854459664310e+01
1.569569569569569545e+01,-7.175548486721450558e+01,-3.539392024211952048e+01,1.196454019455280076e+02,1.820416168188111428e+01
1.573573573573573547e+01,-6.669097026837479802e+01,-3.473792990427740790e+01,1.333412748180651874e+02,1.449183291146909269e+01
1.577577577577577550e+01,-6.107138975886097398e+01,-3.424286769533337349e+01,1.471110188673501682e+02,1.036211042509089530e+01
1.581581581581581553e+01,-5.490719124225856262e+01,-3.391512395847276196e+01,1.605517301610483116e+02,6.129543209308213392e+00
1.585585585585585555e+01,-4.822689340696403093e+01,-3.374705873697477898e+01,1.730309820519482855e+02,2.281581045514067707e+00
1.589589589589589558e+01,-4.107806050061962111e+01,-3.371680825239480583e+01,1.836841854341415399e+02,-5.178854692332386378e-01
1.593593593593593560e+01,-3.355558715133299330e+01,-3.376803694668525679e+01,1.915201814538532972e+02,-1.522336303109512734e+00
1.597597597597597563e+01,-2.579579861466451973e+01,-3.380845922812076765e+01,1.958747197139317677e+02,-2.711815429224847529e-01
1.601601601601601743e+01,-1.793492094746854093e+01,-3.374820084575586776e+01,1.965308704932010642e+02,3.368992003239667188e+00
1.605605605605605746e+01,-1.010670827331042609e+01,-3.350274299734027039e+01,1.937149066199184233e+02,9.213424856399427654e+00
1.609609609609609748e+01,-2.442442782464491202e+00,-3.299292232931877322e+01,1.880963034717741493e+02,1.675918486669094065e+01
1.613613613613613751e+01,4.945397961221141614e+00,-3.215364239522298107e+01,1.806231858961829460e+02,2.525562712121944386e+01
1.617617617617617753e+01,1.200563755133868860e+01,-3.096493484710591915e+01,1.717732352174074322e+02,3.413088161259464925e+01
1.621621621621621756e+01,1.868990398500405448e+01,-2.942198187313962165e+01,1.618488333961898320e+02,4.297070377488847726e+01
1.625625625625625759e+01,2.495658984999491281e+01,-2.753081436787456227e+01,1.510425401154051031e+02,5.146041088097372551e+01
1.629629629629629761e+01,3.077179253920608915e+01,-2.530867530001036769e+01,1.394310703197969303e+02,5.938638547012496360e+01
1.633633633633633764e+01,3.610840265825344630e+01,-2.278280625911304824e+01,1.269894490581702513e+02,6.662831570004652804e+01
1.637637637637637766e+01,4.093462356336576136e+01,-1.998225953504209329e+01,1.137433113066781374e+02,7.311758838575329378e+01
1.641641641641641769e+01,4.521593608227529870e+01,-1.693868325944538000e+01,9.975655233534310184e+01,7.885918039903634735e+01
1.645645645645645772e+01,4.892155968107402231e+01,-1.368099358887457129e+01,8.509154970357043624e+01,8.389288508769830344e+01
1.649649649649649774e+01,5.202447226673034208e+01,-1.023457403083323314e+01,6.981227049499665327e+01,8.828760354984625280e+01
1.653653653653653777e+01,5.450141018708914942e+01,-6.621275443776820424e+00,5.398427131748935182e+01,9.214134463389198970e+01
1.657657657657657779e+01,5.633286823087176742e+01,-2.859416037112674669e+00,3.767469830314728085e+01,9.558122493855182711e+01
1.661661661661661782e+01,5.750309962767600069e+01,1.036218628799950858e+00,2.095228710830042473e+01,9.876346881284669621e+01
1.665665665665665784e+01,5.800130989508925694e+01,5.053773660855269689e+00,3.897481286144078627e+00,1.018653019786997334e+02
1.669669669669669787e+01,5.783111236737811112e+01,9.183409502604202856e+00,-1.331541443212950782e+01,1.049726803370569570e+02
1.673673673673673790e+01,5.695756950117791462e+01,1.344816849049307095e+01,-3.081884990919504119e+01,1.083348296402411108e+02
1.677677677677677792e+01,5.535690787724475115e+01,1.786870906446938179e+01,-4.857780885511461122e+01,1.120867914109758345e+02
1.681681681681681795e+01,5.303416023388377454e+01,2.245283072352593479e+01,-6.623594731018268078e+01,1.161433809600771099e+02
1.685685685685685797e+01,5.002316546694918031e+01,2.719547402570080052e+01,-8.311559364492597979e+01,1.201991873864532465e+02
1.689689689689689800e+01,4.638656862984421991e+01,3.207872058807735982e+01,-9.821774856010360111e+01,1.237285735771049531e+02
1.693693693693693803e+01,4.221582093352121490e+01,3.707179308678425400e+01,-1.102220850867068407e+02,1.259856762071252518e+02
1.697697697697697805e+01,3.764173168231059918e+01,4.212335345069694625e+01,-1.175392127184009041e+02,1.260301308012637378e+02
1.701701701701701808e+01,3.287789986818896182e+01,4.712627960906075231e+01,-1.197699409038733904e+02,1.235548147577139986e+02
1.705705705705705810e+01,2.810840236378892953e+01,5.198869688233299513e+01,-1.179673044660382430e+02,1.190904712377568444e+02
1.709709709709709813e+01,2.346964780562149500e+01,5.664408736994479199e+01,-1.132826295722337164e+02,1.132308967761815950e+02
1.713713713713713815e+01,1.905364177645403601e+01,6.104889716628817098e+01,-1.069036136833691870e+02,1.065956894005092437e+02
1.717717717717717818e+01,1.490797963338429710e+01,6.518254089545835939e+01,-1.000537732277050793e+02,9.982994587576965273e+01
1.721721721721721821e+01,1.103447885778955495e+01,6.904855210166884660e+01,-9.351455433021585861e+01,9.334014094884034307e+01
1.725725725725725823e+01,7.414350390107090405e+00,7.266096916628511337e+01,-8.737612158583955591e+01,8.715171342520513065e+01
1.729729729729729826e+01,4.029342822403392255e+00,7.603270757184176887e+01,-8.173587172729317274e+01,8.129794549387112568e+01
1.733733733733733828e+01,8.602009522023350563e-01,7.917663285908570003e+01,-7.662815952501325967e+01,7.578322559172396211e+01
1.737737737737737831e+01,-2.113334217514806213e+00,8.210556062697590107e+01,-7.202429778715587361e+01,7.058304840352781184e+01
1.741741741741741833e+01,-4.911751537239437582e+00,8.483211496165073129e+01,-6.784022339712488758e+01,6.564806590377557427e+01
1.745745745745745836e+01,-7.549743590123298986e+00,8.736648024233657850e+01,-6.400998397912729843e+01,6.094530799444333979e+01
1.749749749749749839e+01,-1.004007026681927073e+01,8.971665738208317009e+01,-6.047161210511181650e+01,5.645079145026676315e+01
1.753753753753753841e+01,-1.239351601317782325e+01,9.189018820672630738e+01,-5.716279406932032714e+01,5.214287825473567040e+01
1.757757757757757844e+01,-1.461846374039027552e+01,9.389420009541098011e+01,-5.402431104441169651e+01,4.800380647114542398e+01
1.761761761761761846e+01,-1.672089482498880031e+01,9.573540598059139484e+01,-5.100003908146187825e+01,4.401969024259692276e+01
1.765765765765765849e+01,-1.870438910884642780e+01,9.742010434803097496e+01,-4.803694910996384948e+01,4.018051979199652379e+01
1.769769769769769852e+01,-2.057012489917703491e+01,9.895417923680241756e+01,-4.508510693782762502e+01,3.648016142205617030e+01
1.773773773773773854e+01,-2.231687896853535591e+01,1.003431002392875371e+02,-4.209767325138029292e+01,3.291635751529330634e+01
1.777777777777777857e+01,-2.394210073025898211e+01,1.015919151693491074e+02,-3.903268210487944145e+01,2.948948611117474883e+01
1.781781781781781859e+01,-2.544394097779653308e+01,1.027058889745512573e+02,-3.586608169898510567e+01,2.619502056710097548e+01
1.785785785785785862e+01,-2.681651649559356798e+01,1.036906237952312466e+02,-3.258415082699923460e+01,2.302683077122219757e+01
