# time,theta,x,omega,v
1.533533533533533522e+01,-1.899042729254304263e+01,2.256621716654556309e+01,-5.441496712792291746e+00,-1.384363380207403438e+01
1.537537537537537524e+01,-1.920744402848790955e+01,2.201052408190435372e+01,-5.392719237788883291e+00,-1.390876578666327390e+01
1.541541541541541527e+01,-1.942222888201143505e+01,2.145238431194100315e+01,-5.338379863060120911e+00,-1.396359081567817739e+01
1.545545545545545529e+01,-1.963454141354835514e+01,2.089221234270490513e+01,-5.277811047021178759e+00,-1.400807942681041496e+01
1.549549549549549532e+01,-1.984412438804269740e+01,2.033042639097202908e+01,-5.210304833074223652e+00,-1.404221106327750945e+01
1.553553553553553535e+01,-2.005070377494776324e+01,1.976744840424496275e+01,-5.135112849608422181e+00,-1.406597407382282938e+01
1.557557557557557537e+01,-2.025398874822614204e+01,1.920370406075288372e+01,-5.051446309999938045e+00,-1.407936571271558002e+01
1.561561561561561540e+01,-2.045367168634971478e+01,1.863962276945158436e+01,-4.958476012611929384e+00,-1.408239213975081583e+01
1.565565565565565542e+01,-2.064942817229962557e+01,1.807563767002343980e+01,-4.855332340794555890e+00,-1.407506842024943516e+01
1.569569569569569545e+01,-2.084091699356631011e+01,1.751218563287743990e+01,-4.741105262884969918e+00,-1.405741852505817846e+01
1.573573573573573547e+01,-2.102778014214949920e+01,1.694970725914917864e+01,-4.614844332207321820e+00,-1.402947533054963181e+01
1.577577577577577550e+01,-2.120964075084140887e+01,1.638864655994369102e+01,-4.475551644523909189e+00,-1.399128017286057002e+01
1.581581581581581553e+01,-2.138564239518402843e+01,1.582936968330206184e+01,-4.320648522137461534e+00,-1.394278567344939290e+01
1.585585585585585555e+01,-2.155502329848947696e+01,1.527223606776174414e+01,-4.148053974366781915e+00,-1.388399000503392244e+01
1.589589589589589558e+01,-2.171725299184949876e+01,1.471765559547007385e+01,-3.956580761119121714e+00,-1.381496711359598706e+01
1.593593593593593560e+01,-2.187164482889323480e+01,1.416603687837475434e+01,-3.744588226261768238e+00,-1.373578215002226877e+01
1.597597597597597563e+01,-2.201735598578723341e+01,1.361778725822386704e+01,-3.509982297622046055e+00,-1.364649147010429253e+01
1.601601601601601743e+01,-2.215338746123545022e+01,1.307331280656583239e+01,-3.250215486987301450e+00,-1.354714263453842626e+01
1.605605605605605746e+01,-2.227858407647921979e+01,1.253301832474951638e+01,-2.962286890104952164e+00,-1.343777440892589858e+01
1.609609609609609748e+01,-2.239163447529729467e+01,1.199730734392408849e+01,-2.642742186682417671e+00,-1.331841676377276862e+01
1.613613613613613751e+01,-2.249107112400582409e+01,1.146658212503910512e+01,-2.287673640387164475e+00,-1.318909087448995088e+01
