# time,x1,x2,y1,y2,z1,z2,vx1,vx2,vy1,vy2,vz1,vz2
2.174217421742174139e+00,-3.699213111390118880e-01,3.651729071892599321e-01,6.894991957728036081e-02,4.859671851201254750e-02,-3.976095150982840165e-01,-6.011415257509620247e-01,5.293041678070565803e-01,-6.358162050975142421e-01,4.367966154569422749e-02,7.724858110818248053e-03,-6.320338454305822473e-02,-4.227514188918178317e-01
2.176217621762176258e+00,-3.688596894463914699e-01,3.638975940096127459e-01,6.903721305604326730e-02,4.861226092808022814e-02,-3.977366803206559553e-01,-6.019862016002863747e-01,5.322894116679438570e-01,-6.394648364830431975e-01,4.359680220970008763e-02,7.826130632588862088e-03,-6.403197790299960945e-02,-4.217386936741116532e-01
2.178217821782178376e+00,-3.677920883459308565e-01,3.626149726648275617e-01,6.912434034641729008e-02,4.862800646328989396e-02,-3.978655074269168979e-01,-6.028288462581906648e-01,5.352893550864368244e-01,-6.431314339945345404e-01,4.351297982584855645e-02,7.928580212851843098e-03,-6.487020174151492125e-02,-4.207141978714818431e-01
2.180218021802180051e+00,-3.667184774048448670e-01,3.613250059592780783e-01,6.921129942236350918e-02,4.864395759391128976e-02,-3.979960166774555441e-01,-6.036694349619776689e-01,5.383041982904404055e-01,-6.468162423549834728e-01,4.342817886517235521e-02,8.032225831456091952e-03,-6.571821134827694755e-02,-4.196777416854393650e-01
2.182218221822182169e+00,-3.656388257438526468e-01,3.600276561516209117e-01,6.929808822288116565e-02,4.866011683894538864e-02,-3.981282286822800387e-01,-6.045079425216376423e-01,5.413341454105152772e-01,-6.505195110572971062e-01,4.334238341729877014e-02,8.137086934412691291e-03,-6.657616582701275654e-02,-4.186291306558733716e-01
2.184218421842184288e+00,-3.645531020371786668e-01,3.587228849547971499e-01,6.938470465200750892e-02,4.867648676012443359e-02,-3.982621644010175821e-01,-6.053443433198483214e-01,5.443794044798727638e-01,-6.542414943642896885e-01,4.325557719044979821e-02,8.243183433894775425e-03,-6.744422809550254527e-02,-4.175681656610525372e-01
2.186218621862186406e+00,-3.634612745125521127e-01,3.574106535360313530e-01,6.947114657881788002e-02,4.869306996191187509e-02,-3.983978451429149303e-01,-6.061786113119749242e-01,5.474401874343783891e-01,-6.579824513086853788e-01,4.316774351144200828e-02,8.350535708237624005e-03,-6.832256488558038909e-02,-4.164946429176240583e-01
2.188218821882188081e+00,-3.623633109512072181e-01,3.560909225168320535e-01,6.955741183742568390e-02,4.870986909150244737e-02,-3.985352925668377844e-01,-6.070107200260700386e-01,5.505167101125499896e-01,-6.617426456931172485e-01,4.307886532568665910e-02,8.459164601938604783e-03,-6.921134674313386692e-02,-4.154083539806142644e-01
2.190219021902190200e+00,-3.612591786878823208e-01,3.547636519729905347e-01,6.964349822698241710e-02,4.872688683882211991e-02,-3.986745286812714006e-01,-6.078406425628744003e-01,5.536091922555606004e-01,-6.655223460901302790e-01,4.298892519718956057e-02,8.569091425657284627e-03,-7.011074802810488005e-02,-4.143090857434274521e-01
2.192219221922192318e+00,-3.601488446108213615e-01,3.534288014345827733e-01,6.972940351167764006e-02,4.874412593652809045e-02,-3.988155758443202581e-01,-6.086683515958157820e-01,5.567178575072344593e-01,-6.693218258421761435e-01,4.289790530855121242e-02,8.680337956215266465e-03,-7.102094691448836150e-02,-4.131966204378476615e-01
2.194219421942194437e+00,-3.590322751617728847e-01,3.520863298859679968e-01,6.981512542073897709e-02,4.876158916000881277e-02,-3.989584567637080026e-01,-6.094938193710095486e-01,5.598429334140496705e-01,-6.731413630616169819e-01,4.280578746096672799e-02,8.792926436596303769e-03,-7.194212539033323361e-02,-4.120707356340372884e-01
2.196219621962196111e+00,-3.579094363359904829e-01,3.507361957657894602e-01,6.990066164843208862e-02,4.877927932738399669e-02,-3.991031944967776690e-01,-6.103170177072586577e-01,5.629846514251368728e-01,-6.769812406307236241e-01,4.271255307422586189e-02,8.906879575946245048e-03,-7.287446925774182516e-02,-4.109312042405378618e-01
2.198219821982198230e+00,-3.567802936822318527e-01,3.493783569669733913e-01,6.998600985406080999e-02,4.879719929950458029e-02,-3.992498124504915702e-01,-6.111379179960537700e-01,5.661432468922819039e-01,-6.808417462016785882e-01,4.261818318671296152e-02,9.022220549573124054e-03,-7.381816813287085666e-02,-4.097777945042690440e-01
2.200220022002200349e+00,-3.556448123027602382e-01,3.480127708367303785e-01,7.007116766196694324e-02,4.881535197995277159e-02,-3.993983343814312970e-01,-6.119564912015730274e-01,5.693189590699214708e-01,-6.847231721965714168e-01,4.252265845540704331e-02,9.138972998947029677e-03,-7.477341544593008038e-02,-4.086102700105300189e-01
2.202220222022202023e+00,-3.545029568533438757e-01,3.466393941765548159e-01,7.015613266153039596e-02,4.883374031504198604e-02,-3.995487843957976071e-01,-6.127727078606817201e-01,5.725120311151459251e-01,-6.886258158074012314e-01,4.242595915588175115e-02,9.257161031700159720e-03,-7.574040844118296034e-02,-4.074283896829987150e-01
2.204220422042204142e+00,-3.533546915432548841e-01,3.452581832422238484e-01,7.024090240716919509e-02,4.885236729381692289e-02,-3.997011869494107028e-01,-6.135865380829332860e-01,5.757227100877004844e-01,-6.925499789960790631e-01,4.232806518230532167e-02,9.376809221626911106e-03,-7.671934817694728292e-02,-4.062319077837311943e-01
2.206220622062206260e+00,-3.521999801352710957e-01,3.438690937437992590e-01,7.032547441833936208e-02,4.887123594805350968e-02,-3.998555668477100644e-01,-6.143979515505685329e-01,5.789512469499815683e-01,-6.964959684944226348e-01,4.222895604744065362e-02,9.497942608683723753e-03,-7.771043952559392176e-02,-4.050205739131630400e-01
2.208220822082208379e+00,-3.510387859456749471e-01,3.424720808456261367e-01,7.040984617953505165e-02,4.889034935225891609e-02,-4.000119492457542836e-01,-6.152069175185155281e-01,5.821978965670395745e-01,-7.004640958041601362e-01,4.212861088264528014e-02,9.620586698989179453e-03,-7.871389117354765652e-02,-4.037941330101085247e-01
2.210221022102210053e+00,-3.498710718442538115e-01,3.410670991663337648e-01,7.049401514028842686e-02,4.890971062367156091e-02,-4.001703596482213965e-01,-6.160134048143899310e-01,5.854629177065772128e-01,-7.044546771969283361e-01,4.202700843787137569e-02,9.744767464823949829e-03,-7.972991562128668719e-02,-4.025523253517607758e-01
2.212221222122212172e+00,-3.486968002542994438e-01,3.396541027788338996e-01,7.057797871516979793e-02,4.892932292226111202e-02,-4.003308239094086618e-01,-6.168173818384954377e-01,5.887465730389525032e-01,-7.084680337142760242e-01,4.192412708166567969e-02,9.870511344630916034e-03,-8.075872918334370265e-02,-4.012948865536911658e-01
2.214221422142214291e+00,-3.475159331526088136e-01,3.382330452103232132e-01,7.066173428378751120e-02,4.894918945072848637e-02,-4.004933682332326161e-01,-6.176188165638227812e-01,5.920491291371747788e-01,-7.125044911676587933e-01,4.181994480116962148e-02,9.997845243014984867e-03,-8.180055198830427088e-02,-4.000215475698504219e-01
2.216221622162216409e+00,-3.463284320694838270e-01,3.368038794422815174e-01,7.074527919078796301e-02,4.896931345450583617e-02,-4.006580191732291296e-01,-6.184176765360502870e-01,5.953708564769069067e-01,-7.165643801384424805e-01,4.171443920211924394e-02,1.012679653074322061e-02,-8.285560797880799078e-02,-3.987320346925680714e-01
